,benchmark,target,total_iterations,threads,terms,series,start_rate,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,workers,precision,messages_per_worker,write_percentage,num_workers,grid_size,priorities,threshold,size,solution_limit,pings,haircuts,waiting_room_size,production_rate,haircut_rate,pieces,left,right,eating_rounds,philosophers,actors,size_percentage,meetings,chameneos,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,data_length,block_threshold,messages,accounts,transactions,block_size,max_edge_weight,rounds,smokers,data_size,max_value,seed,columns,simulations,channels
82,Radix Sort,lf-c,12,12,,,,adaptive,516.778,518.587,517.358,517.4234166666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,
83,Trapezoidal Approximation,lf-c,12,1,,,,NP,136.888,137.53,136.918,136.99175,100.0,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Trapezoidal Approximation,lf-c,12,12,,,,NP,68.935,69.574,69.0755,69.14175,100.0,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Sleeping Barber,lf-c,12,12,,,,NP,74.247,75.939,74.381,74.69033333333334,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,All-Pairs Shortest Path,lf-c,12,1,,,,adaptive,246.687,248.623,247.96949999999998,247.81416666666667,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,,,,
87,Filter Bank,lf-c,12,12,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0
88,Counting Actor,lf-c,12,12,,,,NP,241.977,242.994,242.07049999999998,242.14008333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,
89,Radix Sort,lf-c,12,1,,,,adaptive,514.983,515.996,515.7135000000001,515.6187500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,
90,Concurrent Sorted Linked List,lf-c,12,12,,,,adaptive,190.613,276.21,253.6085,231.558,20.0,,1500.0,10.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
91,Concurrent Sorted Linked List,lf-c,12,1,,,,NP,190.619,193.707,191.90449999999998,191.9310833333333,20.0,,1500.0,10.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
92,Radix Sort,lf-c,12,1,,,,NP,367.979,374.14,368.7155,369.1435833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,
93,Concurrent Sorted Linked List,lf-c,12,1,,,,GEDF_NP,191.934,194.814,193.0525,193.0145,20.0,,1500.0,10.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
94,Fork Join (throughput),lf-c,12,1,,,,adaptive,26.447,26.578,26.509,26.504833333333327,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,10000.0,,,,,,,,,,,,
95,Chameneos,lf-c,12,12,,,,GEDF_NP,341.544,367.57,351.986,353.1613333333334,,,,,,,,,,,,,,,,,,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,
96,Cigarette Smokers,lf-c,12,1,,,,adaptive,1.742,1.96,1.747,1.7658333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,
97,Recursive Matrix Multiplication,lf-c,12,1,,,,NP,175.668,183.781,176.769,177.69558333333336,20.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,512.0,16384.0,,,,,,,,,,,,,
98,A-Star Search,lf-c,12,12,,,,GEDF_NP,264.86,617.783,440.806,415.5483076923077,,,,,20.0,30.0,30.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Radix Sort,lf-c,12,12,,,,GEDF_NP,533.354,535.339,534.769,534.7289999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,
100,All-Pairs Shortest Path,lf-c,12,12,,,,GEDF_NP,145.346,148.463,146.72899999999998,146.88766666666666,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,,,,
101,Logistic Map Series,lf-c,12,12,25000.0,10.0,3.46,GEDF_NP,712.524,828.212,771.899,773.2111666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Fork Join (throughput),lf-c,12,1,,,,GEDF_NP,54.397,55.151,54.4975,54.5425,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,10000.0,,,,,,,,,,,,
103,NQueens first N solutions,lf-c,12,1,,,,adaptive,437.4,439.249,437.7185,437.8418333333332,,,,,20.0,,10.0,4.0,12.0,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
