,benchmark,target,total_iterations,threads,rounds,smokers,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,actors,pings,num_workers,block_size,max_edge_weight,meetings,chameneos,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,eating_rounds,philosophers,workers,data_length,block_threshold,priorities,precision,messages,pieces,left,right,terms,series,start_rate,accounts,transactions,data_size,max_value,seed,size,threshold,solution_limit,messages_per_worker,write_percentage,haircuts,waiting_room_size,production_rate,haircut_rate,grid_size,size_percentage,columns,simulations,channels
86,Radix Sort,lf-c,12,4,,,adaptive,512.64,514.466,513.0395,513.1675833333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,
87,Logistic Map Series,lf-c,12,2,,,NP,182.304,187.822,185.04500000000002,185.24250000000004,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,
88,Bank Transaction,lf-c,12,4,,,NP,95.055,116.376,96.90950000000001,98.60516666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,,,,
89,Filter Bank,lf-c,12,18,,,NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0
90,Filter Bank,lf-c,12,9,,,NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0
91,Concurrent Sorted Linked List,lf-c,12,2,,,GEDF_NP,201.149,255.961,247.945,238.53449999999998,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,1.0,,,
92,Bank Transaction,lf-c,12,18,,,adaptive,105.876,110.745,109.65549999999999,109.29966666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,,,,
93,Concurrent Sorted Linked List,lf-c,12,18,,,adaptive,381.165,413.14,398.571,398.2504166666667,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,1.0,,,
94,Recursive Matrix Multiplication,lf-c,12,2,,,NP,91.151,102.039,92.95400000000001,95.00633333333333,,,,,,,,,,,,,,,,20.0,512.0,16384.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Concurrent Sorted Linked List,lf-c,12,2,,,NP,199.839,241.096,225.08499999999998,221.58291666666665,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,1.0,,,
96,Cigarette Smokers,lf-c,12,18,1000.0,200.0,GEDF_NP,1.846,2.152,1.8535,1.9320833333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
