,benchmark,target,total_iterations,threads,messages,runtime_version,extra_args,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,meetings,chameneos,eating_rounds,philosophers,workers,precision,haircuts,waiting_room_size,production_rate,haircut_rate,actors,data_length,block_threshold,priorities,terms,series,start_rate,num_workers,block_size,max_edge_weight,rounds,smokers,messages_per_worker,write_percentage,size,threshold,solution_limit,pieces,left,right,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,columns,simulations,channels,accounts,transactions,data_size,max_value,seed,grid_size,pings,size_percentage
62,Trapezoidal Approximation,lf-cpp,12,4,,master,[],default,75.6299,91.7313,78.91225,79.74545833333333,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,
63,Chameneos,lf-cpp,12,4,,master,[],default,321.192,504.119,489.4,463.70925000000005,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Filter Bank,lf-cpp,12,9,,master,[],default,259.528,284.251,265.5995,269.2980833333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,,
65,Philosophers,lf-cpp,12,18,,master,[],default,87.2836,95.1701,88.6252,89.91085833333334,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Sleeping Barber,lf-cpp,12,18,,master,[],default,195.857,205.546,199.191,199.98658333333333,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,All-Pairs Shortest Path,lf-cpp,12,9,,master,[],default,409.748,465.885,427.11249999999995,431.16416666666663,,,,,,,,,,,,,,,,,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Thread Ring,lf-cpp,12,2,,master,[],default,184.76,200.882,186.2875,187.59608333333333,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,
69,Concurrent Sorted Linked List,lf-cpp,12,4,,master,[],default,217.225,236.574,224.56650000000002,226.84916666666666,,,,,20.0,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,,,,,,,,,,,,,,,,,,1.0
70,Logistic Map Series,lf-cpp,12,2,,master,[],default,118.432,131.223,126.674,126.61266666666667,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Bank Transaction,lf-cpp,12,2,,master,[],default,185.113,209.551,190.224,192.11941666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,
72,Cigarette Smokers,lf-cpp,12,2,,master,[],default,9.2555,10.1274,9.47205,9.545974999999999,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
73,Ping Pong,lf-cpp,12,18,,master,[],default,155.321,167.082,159.6605,160.62775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0,
74,Precise Pi Computation,lf-cpp,12,18,,master,[],default,114.379,127.208,118.47200000000001,119.75533333333333,,,,,20.0,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Precise Pi Computation,lf-cpp,12,2,,master,[],default,93.0386,102.644,96.9103,97.42089166666666,,,,,20.0,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Cigarette Smokers,lf-cpp,12,9,,master,[],default,9.3494,10.8031,9.94155,10.009525,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
77,Radix Sort,lf-cpp,12,18,,master,[],default,445.429,475.832,451.211,454.7181666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,
78,Counting Actor,lf-cpp,12,18,1000000.0,master,[],default,376.841,419.095,389.1645,391.2659166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Filter Bank,lf-cpp,12,18,,master,[],default,270.684,296.889,284.53549999999996,284.14866666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,,
80,Thread Ring,lf-cpp,12,9,,master,[],default,194.649,207.495,198.6055,199.08650000000003,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,
81,NQueens first N solutions,lf-cpp,12,2,,master,[],default,352.95,386.092,365.79949999999997,364.9645833333334,,,,,,,,,,,,,,10.0,,,,20.0,,,,,,,12.0,4.0,1500000.0,,,,,,,,,,,,,,,,,,,,
82,Concurrent Sorted Linked List,lf-cpp,12,2,,master,[],default,222.141,241.1,233.272,232.64675,,,,,20.0,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,,,,,,,,,,,,,,,,,,1.0
83,A-Star Search,lf-cpp,12,9,,master,[],default,170.527,634.883,396.9635,384.4354166666667,,,,,,,,,,,,,,30.0,,,,20.0,,,,,,,,2014.0,,,,,,,,,,,,,,,,,,,30.0,,
84,Bank Transaction,lf-cpp,12,18,,master,[],default,196.921,218.803,207.49349999999998,208.37391666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,
85,Cigarette Smokers,lf-cpp,12,4,,master,[],default,9.0359,9.8144,9.3497,9.411483333333335,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
86,Logistic Map Series,lf-cpp,12,4,,master,[],default,65.037,67.9386,65.98509999999999,66.12210833333333,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Bank Transaction,lf-cpp,12,4,,master,[],default,186.04,230.034,194.055,197.69125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,
